,,,,target,x,y,z
-179.802,0.269793,179.749, ,0,0.198000000000008,,
-179.802,0.270535,179.749, ,0,0.198000000000008,,
-179.802,0.271271,179.749, ,0,0.198000000000008,,
-179.801,0.272002,179.749, ,0,0.199000000000012,,
-179.801,0.272726,179.749, ,0,0.199000000000012,,
-179.801,0.273444,179.749, ,0,0.199000000000012,,
-179.8,0.274157,179.749, ,0,0.199999999999989,,
-179.8,0.274863,179.749, ,0,0.199999999999989,,
-179.8,0.275564,179.749, ,0,0.199999999999989,,
-179.799,0.27626,179.749, ,0,0.200999999999993,,
-179.799,0.276949,179.749, ,0,0.200999999999993,,
-179.798,0.277634,179.749, ,0,0.201999999999998,,
-179.798,0.278312,179.749, ,0,0.201999999999998,,
-179.798,0.278985,179.749, ,0,0.201999999999998,,
-179.797,0.279652,179.749, ,0,0.203000000000003,,
-179.797,0.280315,179.749, ,0,0.203000000000003,,
-179.797,0.280971,179.749, ,0,0.203000000000003,,
-179.796,0.281623,179.749, ,0,0.204000000000008,,
-179.796,0.282269,179.749, ,0,0.204000000000008,,
-179.796,0.28291,179.749, ,0,0.204000000000008,,
-179.796,0.283545,179.749, ,0,0.204000000000008,,
-179.795,0.284176,179.749, ,0,0.205000000000012,,
-179.795,0.284801,179.75, ,0,0.205000000000012,,
-179.795,0.285421,179.75, ,0,0.205000000000012,,
-179.794,0.286036,179.75, ,0,0.205999999999989,,
-179.794,0.286647,179.75, ,0,0.205999999999989,,
-179.794,0.287252,179.75, ,0,0.205999999999989,,
-179.793,0.287852,179.75, ,0,0.206999999999994,,
-179.793,0.288448,179.75, ,0,0.206999999999994,,
-179.793,0.289038,179.75, ,0,0.206999999999994,,
-179.792,0.289624,179.75, ,0,0.207999999999998,,
-179.792,0.290205,179.75, ,0,0.207999999999998,,
-179.792,0.290781,179.75, ,0,0.207999999999998,,
-179.792,0.291353,179.75, ,0,0.207999999999998,,
-179.791,0.29192,179.75, ,0,0.209000000000003,,
-179.791,0.292482,179.75, ,0,0.209000000000003,,
-179.791,0.29304,179.75, ,0,0.209000000000003,,
-179.79,0.293593,179.75, ,0,0.210000000000008,,
-179.79,0.294142,179.75, ,0,0.210000000000008,,
-179.79,0.294687,179.75, ,0,0.210000000000008,,
-179.79,0.295226,179.75, ,0,0.210000000000008,,
-179.789,0.295762,179.75, ,0,0.211000000000013,,
-179.789,0.296293,179.75, ,0,0.211000000000013,,
-179.789,0.29682,179.75, ,0,0.211000000000013,,
-179.789,0.297343,179.75, ,0,0.211000000000013,,
-179.788,0.297861,179.75, ,0,0.211999999999989,,
-179.788,0.298375,179.75, ,0,0.211999999999989,,
-179.788,0.298885,179.75, ,0,0.211999999999989,,
-179.788,0.299391,179.75, ,0,0.211999999999989,,
-179.787,0.299892,179.75, ,0,0.212999999999994,,
-179.787,0.30039,179.75, ,0,0.212999999999994,,
-179.787,0.300883,179.75, ,0,0.212999999999994,,
-179.787,0.301373,179.75, ,0,0.212999999999994,,
-179.786,0.301859,179.75, ,0,0.213999999999999,,
-179.786,0.30234,179.75, ,0,0.213999999999999,,
-179.786,0.302818,179.75, ,0,0.213999999999999,,
-179.786,0.303292,179.75, ,0,0.213999999999999,,
-179.785,0.303762,179.75, ,0,0.215000000000003,,
-179.785,0.304228,179.75, ,0,0.215000000000003,,
-179.785,0.30469,179.75, ,0,0.215000000000003,,
-179.785,0.305149,179.75, ,0,0.215000000000003,,
-179.784,0.305604,179.75, ,0,0.216000000000008,,
-179.784,0.306055,179.75, ,0,0.216000000000008,,
-179.784,0.306502,179.75, ,0,0.216000000000008,,
-179.784,0.306946,179.75, ,0,0.216000000000008,,
-179.784,0.307386,179.75, ,0,0.216000000000008,,
-179.783,0.307823,179.75, ,0,0.217000000000013,,
-179.783,0.308256,179.75, ,0,0.217000000000013,,
-179.783,0.308686,179.75, ,0,0.217000000000013,,
-179.783,0.309112,179.75, ,0,0.217000000000013,,
-179.782,0.309535,179.75, ,0,0.217999999999989,,
-179.782,0.309954,179.75, ,0,0.217999999999989,,
-179.782,0.31037,179.75, ,0,0.217999999999989,,
-179.782,0.310782,179.75, ,0,0.217999999999989,,
-179.782,0.311191,179.75, ,0,0.217999999999989,,
-179.781,0.311597,179.75, ,0,0.218999999999994,,
-179.781,0.311999,179.75, ,0,0.218999999999994,,
-179.781,0.312399,179.75, ,0,0.218999999999994,,
-179.781,0.312794,179.75, ,0,0.218999999999994,,
-179.781,0.313187,179.75, ,0,0.218999999999994,,
-179.78,0.313577,179.75, ,0,0.219999999999999,,
-179.78,0.313963,179.75, ,0,0.219999999999999,,
-179.78,0.314346,179.75, ,0,0.219999999999999,,
-179.78,0.314726,179.75, ,0,0.219999999999999,,
-179.78,0.315103,179.75, ,0,0.219999999999999,,
