----------環境----------
シーン数,      1130
ターゲット数,  4
インターバル,  1
フレームレート,30Fps
スケール,      1.000
長さ単位,      cm
----------2Dオブジェクト----------
1,｢｣
2,｢｣
3,｢｣
4,｢｣
----------データ----------
シーン,   1X, 1Y, レベル,   2X, 2Y, レベル,   3X, 3Y, レベル,   4X, 4Y, レベル
99,  438.459, 91.963, 0,  487.000, 90.000, 0,  479.667, 43.200, 0,  534.660, 37.681, 0
100,  441.346, 92.008, 0,  491.000, 89.000, 0,  482.750, 43.417, 0,  538.000, 38.205, 0
101,  444.285, 92.108, 0,  486.567, 91.461, 0,  495.000, 50.000, 0,  540.318, 38.341, 0
102,  447.114, 92.303, 0,  488.487, 91.513, 0,  499.000, 50.000, 0,  542.837, 38.233, 0
103,  450.328, 92.250, 0,  491.629, 91.556, 0,  502.000, 50.000, 0,  545.667, 38.385, 0
104,  452.802, 92.897, 0,  494.020, 91.716, 0,  505.000, 51.000, 0,  548.175, 38.525, 0
105,  455.119, 93.270, 0,  496.247, 92.062, 0,  507.000, 51.000, 0,  549.833, 39.139, 0
106,  457.620, 93.719, 0,  498.803, 92.687, 0,  509.000, 52.000, 0,  552.550, 39.575, 0
107,  459.823, 94.285, 0,  500.946, 93.168, 0,  512.000, 52.000, 0,  554.692, 40.333, 0
108,  462.150, 95.050, 0,  503.056, 93.566, 0,  514.000, 53.000, 0,  556.765, 40.529, 0
109,  464.104, 95.809, 0,  504.889, 94.472, 0,  516.000, 53.000, 0,  558.641, 41.436, 0
110,  466.218, 96.042, 0,  506.839, 94.741, 0,  517.000, 54.000, 0,  560.143, 41.800, 0
111,  467.957, 96.635, 0,  508.642, 95.314, 0,  519.000, 54.000, 0,  561.912, 42.500, 0
112,  469.683, 97.033, 0,  510.319, 95.681, 0,  521.000, 54.000, 0,  563.515, 42.788, 0
113,  471.314, 97.144, 0,  511.887, 95.830, 0,  523.000, 55.000, 0,  565.313, 43.313, 0
114,  472.555, 97.482, 0,  513.130, 95.703, 0,  524.000, 55.000, 0,  566.355, 43.129, 0
115,  473.982, 97.838, 0,  514.388, 95.970, 0,  525.000, 55.000, 0,  567.441, 43.000, 0
116,  475.293, 97.974, 0,  515.857, 96.218, 0,  526.000, 55.000, 0,  568.741, 43.296, 0
117,  476.615, 98.103, 0,  517.088, 96.213, 0,  527.000, 55.000, 0,  570.074, 43.185, 0
118,  477.530, 98.103, 0,  517.932, 96.150, 0,  528.000, 55.000, 0,  571.077, 43.385, 0
119,  478.409, 97.730, 0,  518.713, 96.000, 0,  530.000, 55.000, 0,  572.214, 43.500, 0
120,  479.117, 97.766, 0,  519.362, 95.874, 0,  530.000, 55.000, 3,  572.724, 43.103, 0
121,  479.391, 97.664, 0,  520.037, 95.556, 0,  530.000, 55.000, 3,  573.160, 43.040, 0
122,  479.366, 97.205, 0,  520.163, 95.465, 0,  530.000, 54.000, 3,  573.250, 42.333, 0
123,  479.896, 96.930, 0,  520.341, 94.889, 0,  531.000, 54.000, 0,  573.250, 42.300, 0
124,  479.973, 96.469, 0,  520.634, 94.542, 0,  531.000, 54.000, 3,  573.864, 41.318, 0
125,  479.975, 96.167, 0,  520.548, 94.421, 0,  531.000, 53.000, 3,  573.737, 41.368, 0
126,  479.590, 96.164, 0,  520.260, 94.213, 0,  531.000, 54.000, 3,  574.000, 42.364, 0
127,  479.479, 96.043, 0,  520.302, 94.457, 0,  530.000, 53.000, 3,  571.833, 40.500, 1
128,  479.118, 96.227, 0,  519.664, 94.443, 0,  530.000, 53.000, 3,  572.762, 41.333, 0
129,  478.504, 96.383, 0,  519.356, 94.583, 0,  530.000, 53.000, 3,  572.905, 41.286, 0
130,  478.273, 96.455, 0,  519.272, 94.787, 0,  530.000, 54.000, 3,  572.636, 41.409, 0
131,  477.939, 96.877, 0,  518.780, 95.227, 0,  530.000, 54.000, 3,  572.400, 42.120, 0
132,  477.509, 97.043, 0,  518.260, 95.351, 0,  529.000, 54.000, 3,  572.000, 42.586, 0
133,  477.106, 97.699, 0,  517.957, 95.790, 0,  529.000, 55.000, 3,  571.560, 42.280, 0
134,  476.667, 98.085, 0,  517.256, 96.045, 0,  528.000, 55.000, 3,  571.120, 43.160, 0
135,  476.339, 98.205, 0,  516.905, 96.380, 0,  528.000, 55.000, 3,  570.393, 43.286, 0
136,  475.783, 98.358, 0,  516.657, 96.394, 0,  527.000, 55.000, 3,  570.167, 43.533, 0
137,  475.504, 98.243, 0,  516.269, 96.537, 0,  527.000, 55.000, 3,  569.857, 43.179, 0
138,  475.216, 98.362, 0,  515.972, 96.538, 0,  527.000, 55.000, 3,  569.448, 43.483, 0
139,  474.765, 98.487, 0,  515.432, 96.727, 0,  526.000, 56.000, 3,  568.548, 43.258, 0
140,  474.191, 98.678, 0,  514.936, 96.664, 0,  526.000, 56.000, 3,  568.387, 43.645, 0
141,  473.384, 98.759, 0,  514.174, 96.848, 0,  525.000, 56.000, 3,  567.935, 43.677, 0
142,  472.652, 98.696, 0,  513.353, 96.719, 0,  524.000, 56.000, 3,  566.788, 43.455, 0
143,  471.429, 98.807, 0,  512.204, 96.859, 0,  523.000, 56.000, 3,  565.385, 43.692, 0
144,  469.742, 99.089, 0,  510.718, 97.479, 0,  521.000, 56.000, 3,  563.632, 44.395, 0
145,  468.143, 99.647, 0,  508.814, 97.669, 0,  519.000, 57.000, 3,  561.649, 44.486, 0
146,  466.025, 100.033, 0,  506.764, 98.521, 0,  517.000, 57.000, 3,  559.575, 45.475, 0
147,  463.983, 100.463, 0,  504.687, 98.959, 0,  515.000, 58.000, 3,  557.634, 45.902, 0
148,  461.638, 101.047, 0,  502.483, 99.450, 0,  513.000, 58.000, 3,  555.548, 46.357, 0
149,  459.033, 101.740, 0,  504.000, 100.000, 0,  506.750, 52.250, 0,  552.348, 46.543, 0
150,  455.895, 102.540, 0,  498.252, 100.548, 0,  506.000, 59.000, 3,  548.854, 47.333, 0
151,  452.748, 103.331, 0,  496.654, 101.282, 0,  500.000, 54.250, 0,  545.500, 48.313, 0
152,  449.528, 104.118, 0,  493.000, 102.000, 0,  497.667, 55.167, 0,  541.679, 48.925, 0
153,  445.767, 104.884, 0,  488.069, 102.767, 0,  488.625, 59.000, 1,  537.519, 49.269, 0
154,  442.106, 105.553, 0,  486.169, 103.296, 0,  484.222, 59.444, 1,  533.214, 49.929, 0
155,  438.217, 106.628, 0,  479.704, 104.563, 0,  479.000, 59.485, 1,  529.258, 50.919, 0
156,  434.165, 107.564, 0,  474.536, 105.220, 0,  476.040, 61.580, 1,  524.172, 51.500, 0
157,  430.134, 108.463, 0,  470.412, 106.028, 0,  473.644, 61.701, 0,  519.851, 52.269, 0
158,  426.581, 109.202, 0,  466.630, 107.033, 0,  469.967, 62.196, 0,  515.676, 52.887, 0
159,  422.485, 109.931, 0,  462.503, 107.616, 0,  464.105, 64.070, 1,  511.342, 53.513, 0
160,  418.241, 110.609, 0,  458.167, 108.300, 0,  460.848, 63.913, 0,  506.531, 54.432, 0
161,  414.236, 111.264, 0,  453.860, 109.005, 0,  457.268, 64.598, 0,  501.632, 55.316, 0
162,  410.449, 112.000, 0,  449.847, 109.803, 0,  453.370, 65.471, 0,  497.225, 55.688, 0
163,  406.548, 112.896, 0,  445.979, 110.674, 0,  449.342, 66.208, 0,  492.965, 56.593, 0
164,  402.376, 113.812, 0,  441.762, 111.217, 0,  445.046, 66.977, 0,  488.216, 57.159, 0
165,  398.804, 114.476, 0,  437.952, 111.963, 0,  441.143, 67.669, 0,  483.854, 57.677, 0
166,  395.193, 114.917, 0,  434.421, 112.642, 0,  437.403, 68.372, 0,  480.134, 58.299, 0
167,  391.938, 115.862, 0,  430.860, 112.896, 0,  433.979, 68.679, 0,  476.447, 58.298, 0
168,  389.085, 115.887, 0,  428.133, 113.000, 0,  431.274, 68.756, 0,  473.540, 58.290, 0
169,  386.418, 116.116, 0,  425.150, 113.466, 0,  428.455, 69.280, 0,  471.268, 59.052, 0
170,  383.205, 117.152, 0,  422.239, 114.162, 0,  425.314, 69.900, 0,  468.083, 59.250, 0
171,  380.876, 117.634, 0,  419.531, 114.418, 0,  422.705, 70.338, 0,  465.000, 59.740, 0
172,  379.034, 117.912, 0,  417.679, 114.907, 0,  420.838, 70.592, 0,  462.673, 60.173, 0
173,  376.893, 118.483, 0,  415.464, 115.204, 0,  418.590, 70.806, 0,  460.718, 60.204, 0
174,  375.173, 118.093, 0,  413.687, 115.207, 0,  416.752, 70.738, 0,  459.000, 60.098, 0
175,  373.265, 118.095, 0,  411.759, 115.404, 0,  415.225, 71.152, 0,  457.009, 60.655, 0
176,  371.369, 118.295, 0,  409.590, 115.350, 0,  412.777, 71.266, 0,  454.481, 60.575, 0
177,  369.570, 118.377, 0,  407.556, 115.268, 0,  410.352, 71.110, 0,  451.651, 60.283, 0
178,  368.007, 118.263, 0,  405.839, 115.171, 0,  408.459, 70.842, 0,  449.606, 60.317, 0
179,  366.207, 117.820, 0,  403.890, 115.145, 0,  406.617, 70.846, 0,  447.631, 60.058, 0
180,  364.213, 117.827, 0,  401.717, 114.889, 0,  404.418, 70.667, 0,  445.306, 59.796, 0
181,  362.595, 117.865, 0,  400.000, 114.698, 0,  402.676, 70.421, 0,  443.273, 59.391, 0
182,  360.812, 117.698, 0,  398.005, 114.567, 0,  401.028, 70.262, 0,  441.333, 59.324, 0
183,  358.595, 118.044, 0,  395.810, 114.638, 0,  398.632, 70.355, 0,  438.709, 59.068, 0
184,  356.391, 117.722, 0,  393.526, 114.498, 0,  396.444, 70.366, 0,  436.378, 59.505, 0
185,  354.147, 117.520, 0,  391.010, 114.459, 0,  393.893, 70.396, 0,  434.295, 59.813, 0
186,  351.510, 117.510, 0,  388.540, 114.555, 0,  391.133, 70.400, 0,  431.423, 59.550, 0
187,  349.040, 117.680, 0,  385.873, 114.610, 0,  388.439, 70.484, 0,  428.596, 59.789, 0
188,  346.376, 118.108, 0,  383.046, 114.687, 0,  385.381, 70.677, 0,  425.396, 59.811, 0
189,  343.601, 118.266, 0,  380.066, 114.943, 0,  382.321, 70.843, 0,  421.833, 59.807, 0
190,  340.783, 118.645, 0,  377.407, 114.991, 0,  379.821, 71.123, 0,  418.769, 60.171, 0
191,  338.212, 118.742, 0,  374.616, 115.411, 0,  376.850, 71.512, 0,  415.974, 60.598, 0
